Ref,Val,Package,PosX,PosY,Rot,Side
"C1","15p","C_0805_2012Metric",66.2940,-77.7240,180.0000,top
"C2","15p","C_0805_2012Metric",61.9760,-81.2800,90.0000,top
"C3","100n","C_0805_2012Metric",61.9760,-85.0900,270.0000,top
"C4","100n","C_0805_2012Metric",79.6200,-90.2800,0.0000,top
"C5","100n","C_0805_2012Metric",70.8660,-81.2800,90.0000,top
"C6","100n","C_0805_2012Metric",74.2465,-82.2960,0.0000,top
"C7","4.7u","C_0805_2012Metric",113.6650,-79.5020,270.0000,top
"C8","4.7u","C_0805_2012Metric",74.2400,-80.2000,0.0000,top
"C9","10u","C_0805_2012Metric",111.7000,-87.4800,90.0000,top
"C10","100n","C_0805_2012Metric",80.9100,-84.6400,180.0000,top
"C11","4.7u","C_0805_2012Metric",111.1250,-79.5020,270.0000,top
"C12","10n","C_0805_2012Metric",80.9100,-82.3600,0.0000,top
"C13","10u","C_0805_2012Metric",97.7900,-99.6950,270.0000,top
"C14","1uF","C_0805_2012Metric",80.9100,-80.1100,0.0000,top
"C15","100n","C_0805_2012Metric",108.5850,-87.7570,180.0000,top
"C16","10u","C_0805_2012Metric",98.1710,-85.4710,90.0000,top
"C17","10n","C_0805_2012Metric",54.3560,-76.7080,180.0000,top
"C18","10u","C_0805_2012Metric",95.5040,-85.4710,90.0000,top
"C19","2.2u","C_0805_2012Metric",57.9120,-76.7080,180.0000,top
"C20","10u","C_0805_2012Metric",60.4520,-69.8500,270.0000,top
"D1","LED1","LED_0805_2012Metric",7.3660,-25.6540,90.0000,top
"D2","LED2","LED_0805_2012Metric",7.3660,-19.8905,90.0000,top
"D3","LED3","LED_0805_2012Metric",14.0625,-7.0000,0.0000,top
"D4","LED4","LED_0805_2012Metric",19.5000,-7.0000,0.0000,top
"D5","LED5","LED_0805_2012Metric",25.0000,-7.0000,0.0000,top
"D6","B140","D_SMB_Handsoldering",100.9650,-80.2640,180.0000,top
"D7","1N4148","D_SOD-123",108.5850,-90.9320,180.0000,top
"J1","SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",82.0900,-98.7400,90.0000,top
"L1","15u","L_Taiyo-Yuden_NR-50xx_HandSoldering",102.8700,-87.6300,270.0000,top
"R1","100","R_0805_2012Metric",91.1860,-54.3560,90.0000,top
"R2","470","R_0805_2012Metric",9.9060,-25.6540,270.0000,top
"R3","470","R_0805_2012Metric",9.9060,-19.8120,270.0000,top
"R4","10k","R_0805_2012Metric",81.0260,-54.3560,90.0000,top
"R5","470","R_0805_2012Metric",14.0000,-9.5000,180.0000,top
"R6","10k","R_0805_2012Metric",58.4300,-82.8800,270.0000,top
"R7","470","R_0805_2012Metric",19.5000,-9.5000,180.0000,top
"R8","470","R_0805_2012Metric",25.0000,-9.5000,180.0000,top
"R9","10k","R_0805_2012Metric",80.9100,-86.9200,0.0000,top
"R10","1k","R_0805_2012Metric",62.7380,-88.3920,180.0000,top
"R11","56k","R_0805_2012Metric",113.7540,-87.4645,90.0000,top
"R12","10k","R_0805_2012Metric",113.2840,-83.6445,270.0000,top
"SW1","RESET","Panasonic_EVQPUJ_EVQPUA",92.0750,-101.6000,180.0000,top
"SW2","BUTTON_1","Panasonic_EVQPUJ_EVQPUA",7.8740,-12.4460,90.0000,top
"SW3","BUTTON_2","Panasonic_EVQPUJ_EVQPUA",7.8740,-33.5280,90.0000,top
"SW4","BOOT","Panasonic_EVQPUJ_EVQPUA",72.0750,-101.6000,180.0000,top
"U1","QRE1113GR","OnSemi_CASE100CY",86.1695,-54.5500,270.0000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",71.1200,-90.4240,315.0000,top
"U3","TCS40DPR","SOT-23W",63.4760,-10.0410,180.0000,top
"U4","AP1117-33","SOT-223-3_TabPin2",104.7750,-97.7900,180.0000,top
"U5","MCP16301","SOT-23-6",108.5850,-83.9470,180.0000,top
"U6","DRV8833PWP","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias",56.1450,-69.8310,270.0000,top
"U7","MAX3078E","SOIC-8_3.9x4.9mm_P1.27mm",112.3950,-97.7900,90.0000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",66.2940,-81.2800,180.0000,top
